x7c:d9:5c:ae:e4:91 phone_googlepixel3A_6
58:cb:52:2f:11:c phone_googlepixel3A_1
88:54:1f:33:ef:4f phone_googlepixel3A_2
58:cb:52:3c:16:f1 phone_googlepixel3A_3
f4:f3:9:bf:de:a7 galaxyA03TF
d8:eb:46:70:8d:4a google_nest_doorbell
70:ee:50:96:f6:38 netatmo_weather_station
3c:61:5:fd:32:ee eufy_robovac
bc:ff:4d:84:66:33 switchbot_hub_mini_1
48:e7:da:cd:de:a1 petsafe_feeder
fc:9c:98:11:71:a8 arlo_camera_pro4
0:24:e4:ee:3e:bc Withings_Body_Pressure_Monitor
5c:d6:1f:e9:a9:c4 Qardiobase_scale
0:24:e4:fa:ec:5c withings_scale
f4:cf:a2:4a:bd:46 sensibo_sky_sensor
38:86:f7:79:1d:15 nest_cam
54:ef:44:3c:72:e8 aqara_hubM2
6c:c:9a:4f:2b:92 blink_doorbell
5c:47:5e:60:23:1 ring_doorbell
38:42:b:68:76:30 sonos_speaker
0:2d:b3:2:e:70 furbo_dog_camera
dc:e5:5b:5e:1b:f1 google_nest_hub
44:42:1:4f:f:8a blink_mini_camera
68:4e:5:9d:44:b8 ecovacs_vacuum
90:48:6c:5e:e7:15 ring_chime_pro
d4:ad:fc:60:43:9a govee_strip_light
fc:67:1f:a9:a7:8d weekett_kettle
ac:bf:71:6b:e8:5b bose_speaker
90:f8:2e:87:c1:2e echodot5
cc:f7:35:49:f4:5 echodot4
8:fb:ea:15:7d:ef simplicam
0:24:e4:f1:ae:12 withings_sleep_analyser
90:f1:57:a5:69:f garmin_scale
5c:75:af:67:de:32 fitbit_versa2_watch
9e:33:8e:2e:78:df iphone_SE_virtual_mac1
5c:47:5e:26:a4:11 ring_indoor_cam
8e:2c:38:4b:d8:59 phone_googlepixel3A_2_randommac
da:ab:c:f2:9d:57 google_pixel_watch_oldmac
d2:43:7f:d2:57:ae google_pixel_watch
d0:3f:27:57:b6:c2 Wyze_camera
88:28:7d:43:80:c0 boifun_baby
a4:97:5c:a4:6b:c4 vtech_baby_monitor
d0:73:d5:5b:c8:23 lifx_mini
d8:a0:11:49:ef:50 wiz_smart_bulb
9c:76:13:95:ec:8e ring_spotlight_camera
a6:d3:ab:66:b7:98 Samsung_Galaxy_Watch5
0:24:e4:d6:69:e4 withings_thermometer
86:f8:9c:a8:e3:2f phone_google_pixel3a_5_random
b0:99:d7:2d:54:20 samsung_TV
88:54:1f:29:36:3c phone_google_pixel3a_5
a4:cf:12:ab:e9:fe remote_control_1
f8:9e:94:ab:5b:2b nuc
48:7e:48:a7:f7:9f nokia_tv
b8:16:5f:ef:fb:58 LG_tv
28:7e:80:96:8d:91 roku_tcl_tv
90:98:77:7b:6c:13 toshiba_tv
b4:b7:42:8f:94:40 fire_tv_stick_1
dc:97:58:ab:a3:63 xiaomi_tv_box
bc:d7:d4:58:ce:fb roku_tv_stick
bc:df:58:5f:bd:ca chromecast
48:b0:2d:e9:9a:b9 nvidia_shield
a8:51:ab:ab:a5:3 apple_tv
d0:3f:27:82:15:5b wyze_cam_pan_v2
04:17:b6:7f:b0:c2 eufy_chime
48:e1:e9:ab:ec:1b meross_garage_door
9c:9c:1f:91:e1:b6 cosori_air_fryer
0c:8b:95:a0:e2:cc alexa_swan_kettle
84:f3:eb:c1:2f:32 remote_control_2
9c:a2:f4:6e:fb:19 tapo_plug110_1
ac:15:a2:46:95:a0 tapo_plug110_2
9c:a2:f4:6e:fb:af tapo_plug110_3
ac:15:a2:46:95:fc tapo_plug110_4
ac:15:a2:46:9b:de tapo_plug110_6
ac:15:a2:46:9a:35 tapo_plug110_17
30:de:4b:4d:3a:27 tapo_plug110_23
30:de:4b:4d:53:e0 tapo_plug110_24
30:de:4b:4d:84:6e tapo_plug110_25
30:de:4b:4d:44:40 tapo_plug110_33
30:de:4b:4d:44:b6 tapo_plug110_34
30:de:4b:4d:44:b2 tapo_plug110_35
ac:15:a2:46:9e:82 tapo_plug110_36
ac:15:a2:46:9f:5b tapo_plug110_37
9c:a2:f4:6e:de:25 tapo_plug110_38
9c:a2:f4:6e:d8:40 tapo_plug110_39
b4:e4:54:1c:e9:da fire_tv_stick_2
3a:f1:40:33:f3:85 phone_googlepixel3A_2_random
9e:ec:7a:41:da:a7 phone_googlepixel3A_6_random
88:54:1f:23:10:5f phone_google_pixel3A_7
ec:4d:3e:16:9b:e9 yeelight_bulb
50:14:79:ff:e:6d iROBOT_roomba
48:55:19:a:1b:4c switchbot_hub_mini_2
b0:2a:43:fc:ce:7f phone_google_pixel3a_4
3c:28:6d:20:a0:a3 phone_google_pixel3a_8
7c:c2:94:b:da:4c xiaomi_blender
cc:8c:bf:cb:e1:df lepro_light
8:e9:f6:2a:2e:a2 coffee_maker_lavazza
a0:92:8:86:e2:43 OKP_smart_vacuum
